p-th Cyclo pol,qMin = #elements in `sparsest field`,sparsity,ord_p(qMin),sparsity <= ord_p(qMin)?
7489,29,21,26,True
7499,13,285,326,True
7507,29,132,139,True
7517,11,1694,1879,True
7523,3,2534,3761,True
7529,2,463,941,True
7537,2,595,1256,True
7541,11,1361,1508,True
7547,17,502,539,True
7549,23,8,12,True
7559,2,1947,3779,True
7561,11,59,70,True
7573,3,409,631,True
7577,2,937,1894,True
7583,2,1867,3791,True
7589,3,699,1084,True
7591,23,124,138,True
7603,5,26,42,True
7607,2,1939,3803,True
7621,5,16,30,True
7639,2,651,1273,True
7643,3,2561,3821,True
7649,17,1785,1912,True
7669,3,418,639,True
7673,13,497,548,True
7681,3,397,640,True
7687,13,54,61,True
7691,5,606,769,True
7699,7,1095,1283,True
7703,2,1975,3851,True
7717,3,408,643,True
7723,17,259,286,True
7727,2,1911,3863,True
7741,19,797,860,True
7753,3,128,228,True
7757,23,523,554,True
7759,17,791,862,True
7789,17,217,236,True
7793,2,973,1948,True
7817,2,941,1954,True
7823,2,1979,3911,True
7829,5,1562,1957,True
7841,3,707,1120,True
7853,3,367,604,True
7867,2,415,874,True
7873,17,301,328,True
7877,7,3361,3938,True
7879,29,289,303,True
7883,11,502,563,True
7901,11,133,158,True
7907,3,2588,3953,True
7919,2,2015,3959,True
